PRO_COM;NOME;a1_1;a1_2;a2;a3;a4;a5;a6;a7;b1_1;b1_2;b2_1;b2_2;b3;b4;b5;b6;b7;b8;b9;c1;c2;c3;c4;c5;c6;c7;d1;d2;d3;d4;d5;d6;d7;d8;e1;e2_1;e2_2;e3;e4;e5;e6;f1;f2;f3_1;f3_2;f4;f5;f6;f7;f8;g1;g2_1;g2_2;g3;g4;g5;g6;g7;g8;g9;h1;h2;h3;h4;h5;h6;h7;i1;i2;i3;i4;l1;l2;l3;l4;l5;m1_1;m1_2;m2_1;m2_2;m2_3;m3_1;m3_2;m3_3;m4;n1;n2;n3;n4;n5;n6;n7;n8;o1_1;o1_2;o2_1;o2_2;o3;o4
1001;Agliè;0,3;0,4;-3,2;6,8;4,8;-16,2;1,4;-0,1;172,2;1176,5;15,1;0,05;7836,3;76,1;91,6;633,4;44,3;10,9;3,8;10,6;231,4;145,0;1;196,0;6,7;1;47,5;323;67,9;0;0,86;0,22;7;-0,18;13,8;59704;2;0;0;0;0;8,3;3;0;2;0,0;0,28;0,4;9,8;0,8;1,1;0,0;0,0;16,2;7,2;18,3;8,9;1,2;39,7;0,0;0,4;3,8;15,1;0,3;1,2;99,4;31,5;7,6;8565,5;3,0;2101,1;0,2023;73,3;86,4;130,0;1,37;0,045;0,00;0,0;0;0;1,7;3;0;0;624,1;84,3;359,8;11,9;67,8;52,0;3,0;9,6;8,219;18,5;0;0;0;0
1002;Airasca;-0,1;8,4;0,6;3,1;0,7;17,2;4,2;0,0;299,8;2670,2;6,2;0,02;8187,1;62,2;45,3;468,1;22,4;15,8;13,0;4,7;94,5;119,5;0,9;0,0;9,9;4;52,1;230,7;65,4;0;0,86;0,23;8;1,00;0,8;0;0;0;0;0;0;0,0;2;0;3;0,0;-0,19;0,3;15,0;0,3;2,3;0,0;0,0;19,4;10,1;36,0;9,5;1,5;25,0;0,0;1,0;3,8;4,4;0,1;1,6;99,7;30,0;6,9;8696,7;2,7;6835,3;0,1683;96,4;40,4;173,7;1,33;0,099;0,00;0,0;0;0;26,9;3054;76;0;488,1;92,5;414,7;19,2;55,4;53,4;2,2;10,1;2,278;14,7;0;0;0;0
1003;Ala di Stura;0,2;-4,2;3,5;1,6;1,0;-29,6;-0,2;-0,1;9,7;801,1;11,9;0,08;7380,5;48,9;66,2;785,5;22,6;17,9;4,3;2,3;186,2;136,6;0;0,0;7;1;51;244,4;62,4;0;0,74;0,41;9,7;0,22;68,4;0;0;0;0;0;0;100,0;5;0;0;0,0;-0,06;2,2;10,9;0,0;2,4;0,0;0,0;6,8;3,7;11,1;7,4;0,4;44,4;0,0;0,9;7,6;84,6;0,9;15,8;95,4;35,4;1,3;9742,9;1,0;2018,1;0,1940;60,6; #N/D; #N/D;1,33;0,115;0,00;10,3;145;23;1,9;6;2;0;1436,9;79,1;207,1;26,7;313,4;55,3;0,0;11,8;4,762;10,9;0;0;0;0
1004;Albiano d'Ivrea;-0,7;2,7;-0,7;8,7;5,0;-26,2;2,7;-0,1;109,2;1453,0;13,0;0,09;8843,2;76,6;62,8;580,7;42,9;15,9;6,0;9,4;185,4;125,5;0,6;0,0;6,7;2;50,2;243,3;63,8;0;0,81;0,10;7,4;-0,20;22,6;0;0;0;0;1;0;0,0;3;0;2;0,0;0,05;0,6;10,6;0,0;0,0;0,0;0,0;19,5;6,7;14,7;6,1;0,5;26,8;0,0;0,0;2,5;8,9;0,1;0,4;99,7;28,3;6,5;8781,1;2,4;1490,2;0,1865;73,3;62,4;53,5;1,30;0,041;0,00;0,0;0;0;0,8;1;0;0;756,1;90,4;338,4;11,4;59,4;64,3;2,4;11,1;6,688;11,5;0;0;0;0
1005;Alice Superiore;-0,4;8,1;2,5;-7,0;8,1;-28,5;6,7;-0,2;71,6;1183,0;36,4;0,36;8154,6;77,5;50,3;681,6;47,6;13,4;2,5;17,7;238;170,2;1,1;0,0;4,4;0;46,9;446,9;63,4;0;0,78;0,07;4,1;-0,39;323,6;0;0;0;0;0;0;0,0;4;0;1;0,0;-0,06;1,4;10,2;0,0;0,6;0,0;0,0;17,3;10,2;35,0;10,8;3,0;45,7;0,0;0,3;6,6;40,9;0,0;12,6;98,0;31,4;2,0;9608,0;2,1;1895,7;0,1547;101,8;70,4; #N/D;1,20;0,046;0,00;3,6;30;1;3,1;17;0;0;981,6;83,7;201,2;3,7;60,4;32,8;0,7;9,8;3,810;6,6;0;0;0;0
1006;Almese;0,1;9,7;-1,0;4,2;0,7;8,7;2,2;0,1;316,7;1963,1;2,5;0,03;8488,0;76,6;53,9;590,4;38,7;17,3;8,7;14,2;150,5;143,7;0,6;0,0;5,3;5;50;349,9;66,9;0;0,83;0,24;6,1;0,18;3,7;0;0;0;0;0;0;17,8;3;0;3;0,0;-0,08;0,3;11,5;0,3;0,4;0,3;0,0;9,7;7,2;28,1;6,7;1,2;28,1;0,7;0,2;2,1;14,2;0,0;0,5;99,4;28,3;4,6;9107,9;2,2;3810,2;0,2058;76,4;72,9;106,1;1,29;0,094;0,00;6,6;1353;56;0,0;0;0;0;416,8;83,8;221,0;8,7;59,4;59,4;8,2;12,9;8,566;17,8;0;0;0;0
1007;Alpette;-0,7;-8,2;12,6;3,6;-4,9;-26,3;3,8;0,5;36,6;694,9;13,7;0,00;5100,5;81,9;99,4;987,0;27,4;3,4;4,8;10,0;390,9;175,8;1,8;0,0;10,7;0;45,5;356,3;55;0;0,70;0,16;11,6;-0,28;0,0;0;1;0;0;0;0;82,5;5;0;0;0,0;-0,02;0,0;1,0;3,6;2,6;0,0;0,0;11,1;7,9;18,2;0,0;0,0;52,3;0,0;0,6;18,2;75,0;0,0;1,6;97,6;35,1;2,9;9437,2;3,8;1962,0;0,1685;90,7;20,0; #N/D;1,52;0,054;0,00;2,1;0;1;0,0;0;0;0;1002,9;39,6;201,2;15,2;265,7;32,8;0,2;8,6;2,174;4,3;0;0;0;0
1008;Alpignano;-0,1;0,5;-0,1;3,2;1,8;-3,5;2,2;0,0;1166,3;3216,5;1,4;0,01;7382,4;67,6;93,0;282,1;24,3;34,9;5,3;2,3;175,5;131,6;0,9;0,0;5,1;8;46,4;306,2;64,5;0;0,87;0,18;5,5;0,04;11,9;0;1;0;0;0;0;0,0;2;1;3;0,0;0,49;0,2;16,6;0,1;0,9;0,8;0,0;17,0;9,0;31,9;7,3;1,5;25,0;1,7;0,4;2,1;6,1;0,1;1,2;99,8;31,0;3,6;9298,8;1,6;2047,1;0,1784;77,7;51,1;90,5;1,32;0,074;0,00;0,0;0;0;7,7;150;6;0;215,4;91,9;221,0;13,7;67,9;59,4;8,2;12,7;7,633;13,8;0;0;0;0
1009;Andezeno;-0,3;8,0;-7,1;1,6;13,0;3,6;2,4;0,1;356,7;1977,7;11,3;0,03;6754,2;74,0;47,9;440,1;33,4;18,5;7,7;16,0;143;122,7;1,1;0,0;6,8;3;51,4;235,3;67,8;0;0,85;0,29;5,5;1,42;0,0;0;1;0;0;0;0;0,0;3;0;3;0,0;0,29;0,5;6,4;0,0;0,0;0,0;0,0;12,6;6,7;26,3;8,3;0,9;25,4;0,0;0,0;3,5;19,8;0,1;1,4;99,5;28,6;7,3;8633,8;1,9;4487,5;0,1985;77,5;101,9;76,3;1,38;0,045;0,00;3,8;32;1;13,0;179;11;0;680,0;94,6;187,3;18,4;126,3;73,2;4,4;12,6;5,146;11,1;0;0;0;0
1010;Andrate;-0,6;4,5;1,6;14,5;2,7;-27,4;0,1;-0,7;39,1;846,7;24,2;0,24;8223,0;73,1;100,0;865,6;39,4;9,3;0,8;11,8;181,2;180,6;1,6;0,0;8,7;1;52,4;363,3;64,3;0;0,76;0,18;4,5;-0,47;44,7;0;1;0;0;0;0;59,7;3;0;3;0,0;-0,01;2,0;8,8;0,0;0,0;0,0;0,0;12,2;3,7;23,5;3,5;0,0;52,0;0,0;0,0;3,1;57,0;0,0;0,9;97,7;31,4;6,8;8723,7;3,7;1677,3;0,1578;72,8;33,4;136,3;1,44;0,045;0,00;37,0;21;22;0,0;0;0;0;1215,0;85,9;438,8;14,9;55,8;58,1;1,4;10,3;17,910;19,6;0;0;0;0
1011;Angrogna;0,2;9,6;0,7;5,0;-1,9;-28,8;1,6;0,2;16,3;1880,3;80,7;0,62;9118,5;74,1;97,2;1558,4;30,5;8,9;1,3;17,5;191,8;204,2;0,5;0,0;4,5;2;45,8;437,8;57,5;0;0,74;0,11;3,7;-0,58;23,1;0;5;0;0;0;0;46,1;3;0;1;0,0;-0,11;0,0;11,6;1,1;1,9;0,0;0,0;23,9;5,9;26,9;10,1;0,5;42,2;0,3;0,7;2,2;45,3;0,0;1,8;93,2;33,5;1,4;9727,7;1,5;1467,8;0,1925;78,2; #N/D; #N/D;1,49;0,135;0,00;9,1;18;9;0,6;7;3;0;1852,6;67,4;414,7;4,2;42,4;53,4;0,6;6,9;11,429;12,7;0;0;0;0
1012;Arignano;0,4;11,3;-0,1;4,0;-1,9;-2,8;2,7;-0,2;106,5;962,8;35,7;0,07;7488,5;73,3;38,4;869,4;43,6;11,1;5,3;15,6;117,6;141,9;0;0,0;6,7;2;55,5;297,1;69;0;0,80;0,18;4,9;0,19;7,3;0;0;0;0;0;0;75,9;3;0;3;111,6;1,12;1,0;8,8;0,0;0,7;0,0;0,0;10,3;6,0;21,1;8,1;0,7;25,7;0,0;0,2;5,3;17,1;0,2;1,1;99,1;26,9;4,1;9199,5;1,2;2039,0;0,2005;108,2;20,2;54,9;1,40;0,044;0,00;1,5;1;0;18,0;40;6;0;898,7;92,5;187,3;12,6;95,4;73,2;2,9;10,0;3,540;11,2;0;0;0;0
