;codice_provincia;provincia;variazione_pop_residente;densita_umana;dispersione_abitazioni;mobilita_privata;sottoutilizzo_abitazioni;densita_commercio_dettaglio_sede_fissa;attrattivita_residenziale;vecchiaia;verde_urbano_pro_capite;coppie_giovani_con_figli;occupazione;ricambio_occupazionale;presenza_universitaria;pendolarismo;mobilita_residenziale;dinamismo_economico;tasso_funzione_ricettiva;visitatori_luoghi_cultura;luoghi_cultura;poli_fieristici;stadi;intrattenimento;hub_commerciali;digital_divide;stazione_silver;stazioni_accessibili;posti_letto_ospedale;dinamismo_pa;mobilita_pubblica;biblioteche;abbandono_scolastico_1grado;abbandono_scolastico_2grado;uscita_precoce_istruzione_formazione;disoccupazione;disoccupazione_giovanile;giovani_fuori_mercato_lavoro_formazione;famiglie_rischio_disagio_economico;anziani_soli;suicidio;affollamento_abitazioni;edifici_residenziali_pessimo_stato;servizi_abitazione;popolazione_straniera;coppie_miste;gini;occupazione_ita_straniera;occupazione_m_f;pericolo_frana;suolo_consumato_pro_capite;suolo_agricolo_utilizzato;rifiuti_urbani_pro_capite;mobilita_lenta;acqua_potabile;raccolta_differenziata;impianti_fotovoltaici;auto_e5_e6;cnr;centri_eccellenza
1;AG;Agrigento;0.2;283.6;0.04;81.3;36.3;48.6;-0.4;130.4;5.7;8.4;36.6;364.2;1;0.8;7;-0.03;3.1;0;7;0;1;0;1;2.4;1;0;5.2;0.69;5.4;0.2;0.2;0.7;15.2;19.4;55;15.9;4.5;27.7;0;0.6;2.9;96.2;2.8;1;0.2169;71.4;1.75;1;400.8;85.7;606.2;12.9;69.3;12;1.8;8;0;0
2;AL;Alessandria;-0.2;478.1;0.05;62.8;34.2;39.2;10.9;209.6;7.9;6.7;46;348.5;1;0.86;7.4;0.47;0.7;0;9;0;0;1;1;6.3;1;4;9.4;0.52;11.7;0.2;0.2;0.9;16.8;9.9;34.8;9.8;1.6;30.6;8.3;0.4;1.5;99.6;10.7;3.1;0.1965;84.7;1.39;0.3;360;95.5;257.8;24;86.2;49.4;2.5;14.6;0;0
3;AN;Ancona;-0.4;980.9;0.05;67.3;31.3;54.6;5.6;192.5;13.4;6;47.7;376.9;1;0.84;7;0.73;2.6;40159;13;1;0;1;2;1;1;4;12.8;0.93;16.5;0.3;0;2.9;8.7;8.5;32.1;8;1.2;25.9;8.3;0.6;0.8;99.8;10.9;2.7;0.2102;78;1.33;8.4;213.9;87.9;476;13.8;93.2;59.7;5.3;15.6;0;0
4;BT;Andria;0.1;242.6;0.02;49.2;25.3;193.5;0.3;84.6;0;11.6;37.2;175.6;0;0.81;4.7;-0.02;0;194440;1;0;0;1;1;0.5;0;3;1.5;0.02;8.1;0.1;0.2;2.6;28;21.7;44.3;16.5;6.1;24.2;4.3;0.9;1.7;98.9;1.4;0.5;0.2138;66.5;2.62;0;254.3;94.4;391.2;40.6;61.2;67.2;0.7;4;0;0
5;AO;Aosta;-0.4;2002.8;0.01;59.4;25.1;59.4;6.1;201.7;0;6.6;48.9;323.3;1.5;0.87;8.5;0.52;29;0;2;0;0;1;0;2;1;3;11.8;0.69;5.1;0.3;0;0;19.5;6.5;21.7;8.3;0.8;32.9;1;0.4;0.6;99.7;7.8;3.5;0.2069;73.1;1.31;14.9;188.7;77.3;460.5;35;97;46.7;10.8;62;0;0
6;AR;Arezzo;-0.1;281;0.07;70.7;34.5;36.6;11.3;183.2;0;6.2;48.8;334.6;0.5;0.85;7;0.64;0.8;123516;16;1;1;1;1;0.4;1;4;5;0.46;11;0.2;0.1;1.8;10.8;9.2;30;7.1;1.4;24;5.7;0.5;0.5;99.3;10.6;2.7;0.2102;77.1;1.34;1.2;358.6;56.8;571;17.3;53.4;34.3;2.8;12;0;0
7;AP;Ascoli Piceno;-0.7;384.5;0.06;70.3;35.1;45.2;2.6;221.1;10.7;4.6;42.8;385.6;1;0.83;5.9;0.41;1.6;8186;19;0;1;0;1;3.5;1;4;8.6;0.46;7.7;0.2;0;0.4;9.2;10.8;34.9;8.2;1.6;23.5;3.7;0.4;2.4;99.7;4.6;1.7;0.2041;75.3;1.39;4.4;307.3;68.1;515.7;20.5;80.1;41.4;2.7;10.1;0;1
8;AT;Asti;-0.1;525.1;0.08;65.5;29.2;44.2;8.9;187.5;7.6;6.5;47.1;317.7;1.5;0.87;7.5;0.34;1.4;0;9;0;0;2;1;2.5;1;4;7.2;0.67;12;0.1;0;0.9;16.5;9;28.7;10.6;1.8;29;8;0.6;0.6;99.6;10.7;2.8;0.199;88.3;1.35;0.8;330.7;78;0;21.1;79.4;0;3.2;11.7;0;0
9;AV;Avellino;-0.5;2352.2;0.07;60.1;37.8;82;2.7;163.1;0;4.2;40.3;495.5;0.5;0.83;6.5;0.34;1.3;0;5;0;1;1;0;0;1;3;14.5;1.17;12.2;0.3;0;0.7;9;15.5;53.5;11.1;3.3;20.9;0;0.3;3.5;99.7;2;1.2;0.2175;63.2;1.49;1.7;168.4;76.5;463;26.9;67.6;55;4.9;9.1;1;0
10;BA;Bari;0.4;3267.9;0.01;57.8;28.5;76.7;-3.3;163.3;0.8;6.3;38.8;337.7;2;0.84;4.8;0.31;1.2;91724;16;1;1;2;8;0;1;4;8.8;1.07;12.6;0.5;0.7;1.2;17.4;15.8;46.5;15.2;3.5;23.4;17.7;1.1;1.6;99.3;2.1;0.9;0.227;64.2;1.77;0.1;148.4;96.4;578.4;26.3;92;21.4;8.1;10.9;5;0
11;BT;Barletta;0.1;628;0.01;45.4;18.4;123.6;-0.9;96.7;0;9.4;35.8;204.5;0;0.82;5.3;0.05;0;10724;5;0;0;0;1;0.9;1;4;2.4;-0.04;10;0;0.3;1.1;15.6;19.5;42.2;15;5.8;21.4;4.7;1.6;3.8;98.9;1.7;0.7;0.2282;70.9;2.44;0;172.6;95.2;478.4;43.7;62.9;19.5;1.7;5.4;0;0
12;BL;Belluno;-0.4;275.4;0.06;68;39.9;29.7;8.8;196.3;0;5.4;50.5;354.4;0.5;0.85;7.3;0.44;3.6;0;2;0;0;0;0;6.3;1;4;14.6;0.84;10.8;0.2;0;1.7;5.7;5;19.9;5.3;0.6;30.4;0;0.2;1.1;99.8;6.4;2.5;0.2105;73.6;1.25;0.3;290.9;60.7;389;18.2;91.9;67.6;3.2;14.3;0;0
13;BN;Benevento;-0.6;599.9;0.16;70.2;31.1;63.3;-1.7;150.8;0;5.6;39.5;364.3;3;0.81;4.4;0.18;0.9;14461;8;0;1;2;2;2.7;1;4;13.4;0.55;10.2;0.3;0;0.8;12.7;14.4;45.2;15.4;3.7;24.2;2.3;1.1;1.5;99.2;2;0.9;0.2189;61.4;1.55;1.5;310.4;90.5;410.2;18;100.3;63;2.3;8.2;0;0
14;BG;Bergamo;0;4117.7;0.01;56.1;35.6;62.5;8.7;187.2;0;5.6;48.7;367.6;1;0.86;7.5;1.14;6.5;0;11;0;1;0;2;0;1;4;12.5;1.74;15.7;0.4;0.1;0.8;9.3;6.8;25.9;8;1.2;30.3;5.3;0.3;0.5;99.8;13.2;2.9;0.2457;72.9;1.41;0;150.8;85.9;511;27.2;128.2;59.7;8.8;16.3;0;2
15;BI;Biella;-0.3;1209.3;0.01;70.1;38.2;50.1;2.8;240.5;0;5.1;45.7;378.1;1.5;0.85;7.1;0.97;5.9;0;6;0;0;0;2;1.6;1;4;10.5;0.79;5.9;0.3;0.4;0.8;14;8.6;31.7;9.1;1.4;33.9;2.3;0.3;5.1;99.6;6.7;2.8;0.2172;79.3;1.35;3.7;245.6;78;445.3;22.7;81.8;53.1;4.4;13.6;0;0
16;BO;Bologna;0.4;3097.7;0.01;52.7;27.2;59.1;7.8;237.5;9.7;5;50.3;372.8;1;0.83;8.8;0.77;3;37934;73;1;1;1;6;0;1;4;11.6;1.17;23.1;0.6;0.1;1;10.6;7;27.2;7.1;0.9;30.8;41;0.5;0.7;99.7;11.9;3.5;0.2215;71.4;1.27;6.8;110.6;79.2;520.2;23.3;89.9;35.7;5;16;3;1
17;BS;Brescia;0.3;2836.4;0.01;60.9;32.4;45.2;10.6;180.9;1.9;6.5;47.8;333.1;1.5;0.86;7.4;0.87;2.3;3960;18;1;1;2;3;0;1;4;14.7;1.52;15.6;0.2;0.2;1.5;12.5;7.6;25.2;8.5;1.4;29.9;15;0.5;0.6;99.7;16.6;2.9;0.2314;75.2;1.42;0;205.3;83.3;678;22.4;118.4;38.2;13.2;16.9;0;1
18;BR;Brindisi;-0.3;314.8;0.03;68.4;32.6;33.9;-3.1;131.4;10.9;8.2;36.5;275.5;0.5;0.81;6.8;0.02;0.5;7382;5;0;0;1;2;2.5;1;4;9.2;0.64;7.3;0.1;0.1;1.9;16.2;20.2;52.1;15.6;4.9;25.3;4;0.8;2.1;99;1.9;1.1;0.2112;91.3;1.97;0.2;499.3;95.7;492.9;23.4;81.7;29.7;1.2;8;0;1
19;CA;Cagliari;-0.2;2418;0;63.7;38.2;96;-2.1;251.6;21;2.7;41.7;554.2;1;0.82;6.9;0.75;3;47141;29;1;1;1;3;0;1;4;16.8;1.31;14.1;0.7;0.6;3.5;15.4;17.4;54.1;9.8;2.5;24.2;13;0.5;2.4;99.5;3;1.2;0.2287;58;1.32;1.5;132;83.2;582;21;100.1;32.8;8.9;11;1;0
20;CL;Caltanissetta;1;164.1;0.07;79;33.8;58.7;-1.4;133.3;0;7.9;37.1;340.3;1;0.83;6.5;0.04;0.5;0;3;0;1;0;1;0.4;1;0;3.7;1.49;3.2;0.1;0.6;1.2;21.8;19.4;52.5;15.6;4.8;30.6;5.7;0.9;7.5;98;2.6;0.7;0.2239;79;1.65;0.5;386.6;90.4;491.5;17.5;57.8;12.7;1.4;7.7;0;0
21;CB;Campobasso;-0.6;1088.6;0.13;69.9;35.7;76;0.5;169.5;0;4.4;42.2;409.7;1;0.83;7.1;0.23;2.4;6407;4;0;1;1;1;2.2;1;4;11.4;0.75;7.7;0.3;0;0.3;9.4;13.7;46.1;9.8;2.6;25.3;4;0.4;2.3;99.7;1.5;0.8;0.214;69.4;1.42;18.4;215;90.4;425.9;20.3;78.4;12.9;5.9;8.5;0;1
22;CI;Carbonia;-0.7;200;0.01;75.6;27.3;45.7;-1.5;194;0;4.2;36.4;374.7;0;0.82;6.1;-0.16;0.4;0;4;0;0;0;0;2.9;1;0;5.9;0.17;7;0;0.3;2.8;24.1;21.1;58.4;13.2;4.2;26.2;1;0.8;1.3;97.9;0.9;0.7;0.1871;80.5;1.69;0.2;267.2;70.5;464.8;15.2;76.9;65.9;2.7;9.8;0;0
23;CE;Caserta;-0.6;1767.8;0.01;65.9;38.3;62.2;-2.6;133.6;21.6;5.4;40.2;433.9;4;0.81;5.5;0.05;3.9;0;7;0;1;1;1;1.6;1;4;8.4;0.8;7.6;0.2;0.1;0.5;7.5;16.5;51.1;11.6;3.7;25.6;0;0.4;1.1;99.4;3.4;1.4;0.2213;56.6;1.53;20.6;163.4;88.4;536.5;25.9;87.3;43.1;4.9;9.7;0;0
24;CT;Catania;1.5;2003.4;0.01;67.7;27.2;70.2;-5;139.6;5.2;9.3;32.7;322.3;1;0.83;5.2;0.24;1.3;0;9;1;1;2;2;1.5;1;4;9.6;0.77;8.6;0.4;0.5;1.1;31.1;27.3;61.5;19.8;7.8;30.4;15.7;2.1;6.8;98.4;2.4;1.1;0.2288;54.6;1.8;0.1;159.1;90.6;648.7;21.9;94.9;10.1;3.3;6.2;2;1
