"","provincia","rank","life_quality"
"1","Trento",1,566
"2","Bolzano",2,565
"3","Aosta",3,558
"4","Belluno",4,552
"5","Sondrio",5,547
"6","Milano",6,545
"7","Siena",7,543
"8","Roma",8,542
"9","Trieste",9,539
"10","Udine",10,535
"11","Firenze",11,532
"12","Bologna",12,530
"13","Ravenna",13,529
"14","Grosseto",14,526
"15","Forlì",15,524
"16","Lucca",16,521
"17","Rimini",17,519
"18","Macerata",18,517
"19","Cuneo",19,515
"20","Bergamo",20,514
"21","Brescia",21,510
"22","Gorizia",22,509
"23","Padova",23,508
"24","Lecco",24,507
"25","Prato",25,506
"26","Modena",26,506
"27","Parma",27,506
"28","Reggio nell'Emilia",28,505
"29","Treviso",29,501
"30","Piacenza",30,500
"31","Ancona",31,500
"32","Genova",32,498
"33","Vicenza",33,498
"34","Verbano-Cusio-Ossola",34,498
"35","Pordenone",35,497
"36","Mantova",36,495
"37","Arezzo",37,495
"38","Livorno",38,492
"39","Verona",39,492
"40","Venezia",40,489
"41","Savona",41,489
"42","Pesaro",42,489
"43","Varese",43,489
"44","Ferrara",44,488
"45","Como",45,487
"46","Perugia",46,487
"47","Pisa",47,485
"48","Lodi",48,483
"49","Terni",49,478
"50","Biella",50,478
"51","La Spezia",51,477
"52","Imperia",52,477
"53","Torino",53,476
"54","Novara",54,475
"55","Cremona",55,472
"56","Rieti",56,472
"57","Ascoli Piceno",57,470
"58","Matera",58,470
"59","Viterbo",59,468
"60","Sassari",60,464
"61","Asti",61,463
"62","Vercelli",62,463
"63","Pistoia",63,462
"64","Massa",64,460
"65","Nuoro",65,459
"66","Rovigo",66,459
"67","Teramo",67,459
"68","Cagliari",68,459
"69","L'Aquila",69,459
"70","Pavia",70,458
"71","Alessandria",71,456
"72","Oristano",72,454
"73","Chieti",73,454
"74","Pescara",74,446
"75","Latina",75,444
"76","Campobasso",76,442
"77","Potenza",77,440
"78","Crotone",78,440
"79","Isernia",79,436
"80","Frosinone",80,435
"81","Messina",81,425
"82","Ragusa",82,419
"83","Lecce",83,411
"84","Siracusa",84,411
"85","Brindisi",85,408
"86","Napoli",86,405
"87","Salerno",87,404
"88","Avellino",88,404
"89","Enna",89,404
"90","Cosenza",90,403
"91","Trapani",91,403
"92","Bari",92,399
"93","Palermo",93,399
"94","Caserta",94,399
"95","Vibo Valentia",95,398
"96","Caltanissetta",96,396
"97","Reggio di Calabria",97,395
"98","Taranto",98,393
"99","Catanzaro",99,392
"100","Catania",100,390
"101","Foggia",101,385
"102","Benevento",102,383
"103","Agrigento",103,369
